created_on,town,location,title,description,url_id,bedrooms,price
,Nairobi,Woodley/Kenyatta Golf Course,Available Two Bedroom Master Ensuite Jamhuri Estate Ngong Road,spacious two bedroom apartment master ensuite in a secure court with enough parking asking one rent...,kGjbc1piXyrFZ7eH3KSN7Vh4.,2,35000
,Nairobi,Woodley/Kenyatta Golf Course,Two Bedroom Apartment,"1bedroom to let along Ngong Rd at Racecourse going for #ksh16k. The units are newly built,have...",ksKQ7ksijzfMrFoY3S8noJuq.,2,38000
,Nairobi,Woodley/Kenyatta Golf Course,Available Two Bedroom Jamhuri Estate Ngong Road,spacious two bedroom apartment in a clean environment ready for occupation asking one rent one...,kxFWDNANIPD8A19IOSjwQ3yx.,2,27000
,Nairobi,Woodley/Kenyatta Golf Course,"Ngong Road- Spacious 2 Bedroom Apartment, Close to the Junction Mall","Off ngong road, close to the junction mall
spacious 2 bedroom apartment to let for ksh 40,000 a...",mP3UU4GFer2vgGKFz1LTRXyK.,2,40000
,Nairobi,Woodley/Kenyatta Golf Course,Available Two Bedroom Jamhuri Estate Ngong Road,spacious two bedroom apartment with separate toilet and bathroom available and ready for occupation...,mVXVSWyue8KD6ifCgFUQSSMf.,2,35000
,Nairobi,Woodley/Kenyatta Golf Course,2 Bedroom Master Ensuite Near Naivas Prestige Ngong Rd,"2 bedroom master ensuite, borehole available, backup generator, 24hrs security, parking available...",mnefFuX9nNIxVb1JxIKzPfjG.,2,70000
,Nairobi,Woodley/Kenyatta Golf Course,Two Bedroom Apartment,"Newly built 2 bedroom apartment to let off Ngong Rd at Jamhuri Estate going for ksh 35&38k.
The...",ms3CS8Kacw2MkjTOu2fJ8Fij.,2,35000
,Nairobi,Woodley/Kenyatta Golf Course,One Bedroom Apartment,#1bedroom to let off Ngong Rd at Jamhuri going for #ks23k inclusive of service charge and water...,nOl4Ht5ZKqhne13lxHxbJ2cs.,1,23000
,Nairobi,Woodley/Kenyatta Golf Course,Fully Furnished 2 Bedroom Apartment To Let In Kilimani,"Fully furnished and serviced 2 bedroom master en suite to let in Kilimani area with internet, fully...",oHMbiAoKYyLOMHMCr1Ds3mum.,2,150000
,Nairobi,Woodley/Kenyatta Golf Course,Available Two Bedroom Apartment Behind Npc Woodley,Spacious two bedroom apartment available and ready for occupation jamhuri estate ngong road with...,peOJbz4xoWQSbZ6X46DmAX0s.,2,32000
,Nairobi,Woodley/Kenyatta Golf Course,Two Bedroom Ensuite,"2 bedroom master ensuite to let off Ngong Rd at Jamhuri Estate going for ksh35k.
The units have...",pfIr6uBPUGrrAXAiModNgm56.,2,35000
,Nairobi,Woodley/Kenyatta Golf Course,3 Bedroom to Let in Kabarnet Road,"3 bedroom master ensuite, separate laundry area, parking available for 2 cars per house,water...",ppuUnq7cF4Qi5uj8b0opXBM0.,3,70000
,Nairobi,Woodley/Kenyatta Golf Course,Available One Bedrooms New Apartment Jamhuri Estate Ngong Road,spacious with neat finishing available and ready for occupation jamhuri estate ngong road rent...,qfvhaMJECRaybjMhoRE5IqOO.,1,25000
,Nairobi,Woodley/Kenyatta Golf Course,3 Bd to Let,"Modern and spacious,24hrs security,water available,parking for 2 cars per house.",rbetgaHGOLNocF5AkyTz4kFH.,3,45000
,Nairobi,Woodley/Kenyatta Golf Course,Two Bedroom Apartment In Jamhuri 2 Estate,Two bedroom Elegant apartment in Jamhuri 2 estate off ngong rd. The Aparment is few minutes to adams...,saSkSPrOmeIkZ8t4WcZBs3O2.,2,45000
,Nairobi,Woodley/Kenyatta Golf Course,Available Three Bedroom Jamhuri Estate Ngong Road,Available three bedroom in a three units house spacious with inside two car parking asking one rent...,tKKBgB6RdIuu1D9Itl6M5rfX.,3,35000
,Nairobi,Woodley/Kenyatta Golf Course,1bedroom to Let in Ngumo Muchai Drive,1bedroom house to let in Ngumo estate ready for occupation with affordable price.,twPCYmxdoJzeSnTTFRuqC2yD.,1,28000
,Nairobi,Woodley/Kenyatta Golf Course,Ngumo Spacious 3 Bedrooms Maisonette With DSQ for Rent,"Within a gated community
Spacious sitting room and bedrooms
Kitchen with modern fittings
Detached...",uqlGvYGzofuLh2twvTfWNW7c.,3,65000
,Nairobi,Woodley/Kenyatta Golf Course,Available One Bedroom Apartment Modern Jamhuri Estate Ngong Road,Spacious and modern one bedroom apartment ready and available for occupation with open kitchen...,wpEkHu9MaLDzEGdxSeg8ue1L.,1,26000
,Nairobi,Woodley/Kenyatta Golf Course,Ngumo Spacious 2 Bedrooms Flat With Own Gate for Rent,"Spacious sitting room & bedrooms
Open kitchen with modern fittings
In a safe and clean...",wy0Gr0MDCRni2ehOI5Ln8JQH.,2,40000
,Nairobi,Woodley/Kenyatta Golf Course,Very Impressive Secure 2bedrooms Apartments Only 3units In Compound,Very specious 2 bedrooms apartment that offers lovely dinning area cum lounge. Good size kitchen...,xdgpMY3fmmL1qvmZqqUBIhKk.,2,28000
,Nairobi,Woodley/Kenyatta Golf Course,Available Two Bedroom Apartment Jamhuri Estate Ngong Road,Available two bedrooms spacious for family with neat finishing with water and security throughout...,yw0kjF27j3k1wNqcRLUwx1kS.,2,27000
,Nairobi,Woodley/Kenyatta Golf Course,CLASSIC TWO BEDROOM NEAR KILIMANI AND LAVINGTON,"LOCATED NEAR THE NAKUMATT JUNCTION MALL
ONE UNIT REMAINING
IN A GATED AND GUARDED COMMUNITY
NEW AND...",z9KBhOUPeV0F4EJ20TirBDZA.,2,35000
,Nairobi,Woodley/Kenyatta Golf Course,Executive 2 Bedroom Apartment to Let in Adams,"Executive 2 bedroom apartment to let in adams.
Wooden floors
closed kitchen plan
seperate living...",zTDBmLFAembOpWZBoKzKj95c.,2,45000
,Nairobi,Woodley/Kenyatta Golf Course,New One Bedroom Master Ensuite,"New one bedroom apartment master ensuite ,borehole cctv, lift and 24hrs security",zdvD9ht9fbo2GI2JFNlXajCq.,1,45000
,Nairobi,Woodley/Kenyatta Golf Course,Classic and Finest One Bedroom Near Kilimani,"In good condition
spacious
in a court(gated and guarded community)
no water issues",zqseS2WS7nQlInEJVXUnsJcN.,1,24500
,Mombasa,Mkomani,Nyali 2 Bedroom Apartment,"Has master ensuit 
Has swimming pool 
Lift services available 
Ample parking 
<<>>Call for more...",10XdrXGULjaaeudc7ETZOr4L.,2,65000
,Mombasa,Mkomani,NYALI Magnificent 3 Bedroom Apartment Nyali Centre,located close to the beach with ample parking and ready for occupation.call for more info,10hVKSqB1W07VyQR0YdFTzEc.,3,75000
,Mombasa,Mkomani,"I Hav an Executive Two Bedroom in Nyali Going at 27,000 Ksh . Vacant",I hav a new storey building of executive three and two bedroom in a flat in nyali cinemax . vacant,10jdO0ey5s5pOdG1kMGDbAcO.,2,27000
,Mombasa,Mkomani,To Let 3bdrms Apartment In Nyali Mombasa Kenya,"To let 3bdrms apartments nyali mombasa 
1bdrm ensuite 
spacious dining separate living room 
modern...",10jkcKAclV4Q5sWOfbJ18fTj.,3,38000
,Mombasa,Mkomani,Nyali Beautiful Modern 3 Bedroom Apartment To Let,This apartment is located in a serene environment of Nyali Mombasa and has the following...,12vIG7a522I5ouuFPWNLvObJ.,3,60000
,Mombasa,Mkomani,Elegant 3 Bedroom Apartment Nyali,This elegant apartment will make your cooking an experience and a half. The kitchen has a blend of...,14QIOpd4pOdeLPnNCsoofIph.,3,85000
,Mombasa,Mkomani,3 Bedroom Fully Furnished Beach Side Apartment,"Executive 3 bedroom beach side apartment for long term let
Executive 3 bedroom apartment is ready...",14TGvvSzSg23Fid9GnK3DmDl.,3,150000
,Mombasa,Mkomani,3br Sea View Apartment /Benford Homes,3 bedroom sea view apartment is ready for occupation at a serene secure area of Nyali near city mall...,14ZJlmY8iAPAEsxF0oCyuRYT.,3,85000
,Mombasa,Mkomani,3 Bedroom House For Rent In Nyali Near Mombasa Beach,"3 bedroom house to let in nyali near voyager beach hotel, Ample parking space and 24 hours guards",19UQqBPLPUhj1UIbpCl8kfrG.,3,56000
,Mombasa,Mkomani,"Modern Spacious 3br Flat in Affluent Old Nyali, Close to the Beach",This modern 3bedroom rental apartment with ensuite bedrooms is located in secure serene of affluent...,1AU56xRfJoCL0pY1fkGhxe6k.,3,60000
,Mombasa,Mkomani,1 Bedroom Apartment Unfurnished In Nyali,"Spacious 1 bedroom 
close to means of transport 
open kitchen
ample water
spacious living room",1GAGxdqqAfTK59SdXVWeAGt8.,1,25000
,Mombasa,Mkomani,BREATHTAKING 5 Bedroom House To Let In Nyali,"Positioned in the exclusive suburbs of Nyali, this beautiful 5 bedroom house is hidden in a gated...",1HA5RRx5F2hIEGA79m3DhZvJ.,5,200000
,Mombasa,Mkomani,Amazing 3 Bedroom Apartment With Swimming Pool,"Amazing 3 bedroom apartment for rental in nyali with 24 hours guards, Large spacious living area, ...",1Iac05HGLd3Eqhv563gpvWP9.,3,55000
,Mombasa,Mkomani,Spacious 5br House for Rent,Elegant beautifully designed 5 bedroom town houses in a prime area of Nyali. 8 houses in one...,1Kw1PZ5oa8cu8sfUAE1EYJ35.,5,90000
,Mombasa,Mkomani,3 Bedroom Apartment in Cinemaz Nyali,"Spacious 3 bedroom apartment to let in cinemaz Nyali, 2 rooms are ensuite, one common bathroom and...",1eS3312vn13cRfu6mBnnNVxJ.,3,55000
,Mombasa,Mkomani,Beautiful 3 Bedroom Sea View Penthouse Apartment Old Nyali,This 6 floor apartment gem is truly your dream home. The penthouse has a balcony offering amazing...,1ikDirZhGNLdIMdzw0pE0NOC.,3,65000
,Mombasa,Mkomani,Radiant 4 Bedroom,"This apartment radiates elegance and comfort with sleek finishes.
The living room beams with an...",1mX6HOKvTSq0kCcWCSvpRz2f.,4,75000
,Mombasa,Mkomani,Elegant Modern 3 Bedroom Apartment To Let,"3 bedroom apartments of 2 ensuites, the rooms are spacious, built to contemporary modern design with...",1nk3dNAfVtSnORfsvURsRrlK.,3,80000
,Mombasa,Mkomani,Exercutive 3 Bedroom Apartment For Rental At Nyali,This beautiful and amazing three bedroom beach view is located at nyali surburb mombasa behind...,1vhOuOtNXo0YgOqZgBM7PHiP.,3,100000
,Mombasa,Mkomani,Luxury 1 Bedroom Fully Furnished Apartment With Swimming Pool,"luxurious 1 bedroom fully furnished apartment with fitted air conditioner, swimming pool, wifi...",2CbgkMrWiH25wT3X16XOagqh.,1,55000
,Mombasa,Mkomani,Nyali Exquisite 7 Bedroom Mansion to Let,"Own compound in a 1 acre plot size easily accessing big shopping malls and arcades, 2 minutes drive...",2D7tRodKZsBmEyijtOexjcFX.,7,250000
,Mombasa,Mkomani,3 Bedroom Sea Front Apartment All Ensuite,"3 bedroom apartment 
sea front
all ensuite 
nyali mombasa
unlimited access to the ocean
swimming...",2DsfgQsgkfCb8PPHcLlP0rLl.,3,35000
,Mombasa,Mkomani,3 Br Fully Furnished Beach Side Apartment For Long Let By Benford Home,Executive 2 bedroom fully furnished beach side apartment is ready for occupation at a serene secure...,2HXwbum1Juu9l39cvVjz8TrA.,3,85000
,Mombasa,Mkomani,Cute 4 Bedroom Apartment In New Nyali,"In a gated community with 24 hour security
6 units sharing fully fenced quarter acre compound with...",2OTfmnrfLfYpDkJ4pJmyzkG8.,4,51500
,Mombasa,Mkomani,2br Beach Side Furnished Apartment/ Benford Homes,2 bedroom fully furnished beach side apartment is ready for occupation at a serene secure area of...,2OiJFkzcu3t5OMIQMM3aZNgI.,2,120000
,Mombasa,Mkomani,"Four Bedroom Detached Villa To Let, Nyali",Beautifully presented detached property nestled within a quiet street in Nyali near Nyali...,2PSSRSjof4y4DnqeeTip3xcx.,4,75000
,Mombasa,Mkomani,Colorful 3 Bedroom Apartment,"Pops with color with each room having its own unique hue
Air conditioning and well-tiled floors in...",2PVIpaUrjnbHw9t7SYkdPyjv.,3,85000
,Mombasa,Mkomani,Attractive Modern 4 Bedroom Flat in Nyali,"Attractive 4 bedroom Apartment for rent in nyali with Large spacious living area, Dining area,...",2QXNM4XAmnqxZQuLngcbFu2A.,4,43000
,Mombasa,Mkomani,Executive 3br Apartment For Rent In Nyali,Modern 3 bedroom apartment is ready for occupation in Nyali. The apartment consists of spacious 3...,2UYPECCiZUyZKI1yeZIYH4YC.,3,40000
